Category,Mean Accuracy,Std_Deviation,Number_of_Images
Duck,0.6753469387755102,0.2877860281543094,1225
Car,0.7117948717948717,0.300664834222102,780
Face,0.8349983010533468,0.2151224473256078,5886
Motorbike,0.8265384615384616,0.23021910925094774,780
Winebottle,0.8825641025641026,0.17920817475825507,2145
