Category,Mean Accuracy,Std_Deviation,Number_of_Images
Duck,0.8250000000000002,0.22032173444003808,13
Car,0.9500000000000001,0.08660254037844384,13
Face,1.0,0.0,13
Motorbike,0.9666666666666668,0.07453559924999298,13
Winebottle,0.8666666666666667,0.16996731711975946,13
